ComparisonShortID,ComparisonID,Target,Reference,ProteinID,Gene.names,Protein.names,logFC,P.Value,adj.P.Val,Significant,Direction,N_detected_reference,N_detected_target,Peptides_used
B01,Group1_vs_RS,Group1,RS,A0A024RBG1,NUDT4B;NUDT4B;NUDT4,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B;Diphosphoinositol polyphosphate phosphohydrolase NUDT4B;Diphosphoinositol polyphosphate phosphohydrolase 2,0.0670508269992035,0.838141121099683,0.920634203434928,FALSE,Not_significant,8,5,4
B01,Group1_vs_RS,Group1,RS,A0A096LP01,SMIM26,Small integral membrane protein 26,0.0130012006593438,0.97389432490442,0.986085303503847,FALSE,Not_significant,8,5,4
B01,Group1_vs_RS,Group1,RS,A0A0B4J2A2,PPIAL4C;PPIAL4G,Peptidyl-prolyl cis-trans isomerase A-like 4C;Peptidyl-prolyl cis-trans isomerase A-like 4G,-0.621798458169545,0.104061023559364,0.296394923616453,FALSE,Not_significant,8,5,2
B01,Group1_vs_RS,Group1,RS,A0A0B4J2A2;P62937,PPIAL4C;PPIAL4A;PPIAL4F;PPIAL4D;PPIAL4H;PPIAL4E;PPIA;PPIAL4C;PPIAL4G;PPIAL4A;PPIAL4F;PPIAL4D;PPIAL4H;PPIAL4E;PPIA,"Peptidyl-prolyl cis-trans isomerase A-like 4C;Peptidyl-prolyl cis-trans isomerase A-like 4A;Peptidyl-prolyl cis-trans isomerase A-like 4F;Peptidyl-prolyl cis-trans isomerase A-like 4D;Peptidyl-prolyl cis-trans isomerase A-like 4H;Peptidyl-prolyl cis-trans isomerase A-like 4E;Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed;Peptidyl-prolyl cis-trans isomerase A-like 4C;Peptidyl-prolyl cis-trans isomerase A-like 4G;Peptidyl-prolyl cis-trans isomerase A-like 4A;Peptidyl-prolyl cis-trans isomerase A-like 4F;Peptidyl-prolyl cis-trans isomerase A-like 4D;Peptidyl-prolyl cis-trans isomerase A-like 4H;Peptidyl-prolyl cis-trans isomerase A-like 4E;Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed",1.72935557878737,0.0143671268535546,0.0950644520699343,FALSE,Not_significant,8,5,2
B01,Group1_vs_RS,Group1,RS,A0A0U1RRI6,CENPVL3;CENPVL3;CENPVL2;CENPVL1,Centromere protein V-like protein 3;Centromere protein V-like protein 3;Centromere protein V-like protein 2;Centromere protein V-like protein 1,-0.204361654679752,0.461347342868748,0.681415894212488,FALSE,Not_significant,8,5,10
B01,Group1_vs_RS,Group1,RS,A0A2Z4LIS9,FOXO3B;FOXO3B;ZNF286B,Forkhead box protein O3B;Forkhead box protein O3B;Putative zinc finger protein 286B,-0.86403322926265,0.32023463206063,0.561968057715016,FALSE,Not_significant,8,5,2
B01,Group1_vs_RS,Group1,RS,A0A2Z4LIS9;O43524,FOXO3B;FOXO3,Forkhead box protein O3B;Forkhead box protein O3,0.376126339087441,0.640897625065556,0.805236743710771,FALSE,Not_significant,7,5,2
B01,Group1_vs_RS,Group1,RS,A0AV02,SLC12A8,Solute carrier family 12 member 8,-0.298648621147591,0.31545465022614,0.557121093298199,FALSE,Not_significant,8,5,11
B01,Group1_vs_RS,Group1,RS,A0AV96,RBM47;RBM47;RBM46;RBM47;RBM46;A1CF,RNA-binding protein 47;RNA-binding protein 47;Probable RNA-binding protein 46;RNA-binding protein 47;Probable RNA-binding protein 46;APOBEC1 complementation factor,0.797829955734692,0.00390559654871635,0.0451164071403062,FALSE,Not_significant,8,5,29
B01,Group1_vs_RS,Group1,RS,A0AVF1,IFT56,Intraflagellar transport protein 56,-0.258106086872162,0.209427074470138,0.445571726964244,FALSE,Not_significant,8,5,24
