ComparisonShortID,ComparisonID,Target,Reference,ProteinID,Gene.names,Protein.names,logFC,P.Value,adj.P.Val,Significant,Direction,N_detected_reference,N_detected_target,Peptides_used
B01,Group1_vs_RS,Group1,RS,P33991;Q9UJA3,MCM4;MCM8,DNA replication licensing factor MCM4;DNA helicase MCM8,-3.68869651362244,1.95421686606803e-09,1.8930498781601e-05,TRUE,Higher_in_reference,8,5,1
B01,Group1_vs_RS,Group1,RS,Q9H4M9;Q9NZN3;Q9NZN4,EHD1;EHD3;EHD2,EH domain-containing protein 1;EH domain-containing protein 3;EH domain-containing protein 2,1.92452258800687,4.96071799412759e-09,2.4027237604557e-05,TRUE,Higher_in_target,8,5,1
B01,Group1_vs_RS,Group1,RS,Q59GN2,RPL39P5;RPL39,Putative ribosomal protein eL39-like 5;Large ribosomal subunit protein eL39,4.52883583350214,8.55719758246259e-09,2.76311909937717e-05,TRUE,Higher_in_target,6,5,2
B01,Group1_vs_RS,Group1,RS,P51610;Q9Y5Z7,HCFC1;HCFC2,Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6;Host cell factor 2,4.53520458575056,2.04809643238974e-08,4.95997753513984e-05,TRUE,Higher_in_target,8,5,1
B01,Group1_vs_RS,Group1,RS,P04406;O14556,GAPDH;GAPDHS,"Glyceraldehyde-3-phosphate dehydrogenase;Glyceraldehyde-3-phosphate dehydrogenase, testis-specific",5.48037607154816,7.20035136146679e-08,0.000139499607277058,TRUE,Higher_in_target,8,5,1
B01,Group1_vs_RS,Group1,RS,Q15907;P57735,RAB11B;RAB11A;RAB25,Ras-related protein Rab-11B;Ras-related protein Rab-11A;Ras-related protein Rab-25,7.13898915001681,9.94585857904162e-08,0.000160575886758627,TRUE,Higher_in_target,7,5,1
B01,Group1_vs_RS,Group1,RS,Q8TCJ2;P46977,STT3B;STT3A,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,6.1127814355105,1.3694771076695e-07,0.000189516067742778,TRUE,Higher_in_target,8,5,1
B01,Group1_vs_RS,Group1,RS,Q14728,MFSD10,Major facilitator superfamily domain-containing protein 10,1.97360552465399,1.88312076686677e-07,0.00022802238585798,TRUE,Higher_in_target,8,5,12
B01,Group1_vs_RS,Group1,RS,P25325,MPST,3-mercaptopyruvate sulfurtransferase,1.89109537108488,2.16049618073531e-07,0.000232541405586477,TRUE,Higher_in_target,8,5,14
B01,Group1_vs_RS,Group1,RS,Q53FT3,HIKESHI,Protein Hikeshi,2.09171824314735,2.72758501972593e-07,0.000264221160860851,TRUE,Higher_in_target,8,5,7
B01,Group1_vs_RS,Group1,RS,P52272,HNRNPM,Heterogeneous nuclear ribonucleoprotein M,1.80902409605918,3.09832712912562e-07,0.000272849953634908,TRUE,Higher_in_target,8,5,52
B01,Group1_vs_RS,Group1,RS,Q92581;Q96T83,SLC9A6;SLC9A7,Sodium/hydrogen exchanger 6;Sodium/hydrogen exchanger 7,-5.04064390453594,4.25765446011846e-07,0.000343699156293062,TRUE,Higher_in_reference,3,5,1
B01,Group1_vs_RS,Group1,RS,Q9BRA2,TXNDC17,Thioredoxin domain-containing protein 17,2.36037846756679,4.67786935877315e-07,0.000348573234449504,TRUE,Higher_in_target,8,5,7
B01,Group1_vs_RS,Group1,RS,Q96HE7;Q86YB8,ERO1A;ERO1B,ERO1-like protein alpha;ERO1-like protein beta,-4.12478275966552,5.48392655051163e-07,0.000379448546391472,TRUE,Higher_in_reference,8,5,2
B01,Group1_vs_RS,Group1,RS,Q92989,CLP1,Polyribonucleotide 5-hydroxyl-kinase Clp1,1.71350749185435,1.24913825163247e-06,0.000806693482904248,TRUE,Higher_in_target,8,5,13
B01,Group1_vs_RS,Group1,RS,Q8TAG9;Q9Y2D4,EXOC6;EXOC6B,Exocyst complex component 6;Exocyst complex component 6B,-2.3154913209566,1.39288722108514e-06,0.000843306156915733,TRUE,Higher_in_reference,8,5,2
