BioExperiment,PC1,PC2,PC3,Groups,Condition,BioRep
CTRL1,-13.5216493936095,13.749502182946,-16.9459508258165,RS,CTRL,1
CTRL2,-13.8068675156549,60.8511202781692,8.86190940426781,RS,CTRL,2
c-jun_KO1,-13.282649218343,40.3252215966971,-11.7825098963071,RS,c-jun_KO,1
c-jun_KO2,-14.8172079901787,44.7857429039119,-1.81348940610274,RS,c-jun_KO,2
CTRL_cDDP_24h1,-16.5507478911184,49.1661098863728,-0.38870479087862,RS,CTRL_cDDP_24h,1
c-jun_KO_cDDP_24h1,-15.5401099635462,44.2360818757685,-8.11089771145864,RS,c-jun_KO_cDDP_24h,1
c-jun_KO_cDDP_24h2,-22.0457004442935,51.6284824738938,15.4654570546146,RS,c-jun_KO_cDDP_24h,2
CTRL_JNK-IN-8_cDDP_24h1,-10.6391512936145,44.9845415587642,21.0725480552191,RS,CTRL_JNK-IN-8_cDDP_24h,1
CTRL3,16.6150797961329,-15.1240835945066,-7.22512168437486,Group1,CTRL,3
c-jun_KO3,12.6943236317654,-16.0738517442701,-9.08565636237097,Group1,c-jun_KO,3
CTRL_cDDP_24h2,19.255384263465,-17.0586481323967,-6.86781976966987,Group1,CTRL_cDDP_24h,2
c-jun_KO_cDDP_24h3,19.4814038702247,-9.68696650936156,-4.12095021327928,Group1,c-jun_KO_cDDP_24h,3
CTRL_JNK-IN-8_cDDP_24h2,23.9440056407531,-8.13493445415042,0.55009651194705,Group1,CTRL_JNK-IN-8_cDDP_24h,2
CTRL4,50.7955387691658,-8.48928704767203,21.1269277194573,Group2,CTRL,4
c-jun_KO4,45.3898074680771,-13.1625991605082,19.3773480219016,Group2,c-jun_KO,4
CTRL_cDDP_24h3,49.55244852006,-12.1278455391774,21.2672525459638,Group2,CTRL_cDDP_24h,3
c-jun_KO_cDDP_24h4,49.3109659676866,-7.43977188172318,23.9807663138792,Group2,c-jun_KO_cDDP_24h,4
CTRL_JNK-IN-8_cDDP_24h3,49.1549925706002,-7.91336970592605,25.1553949286889,Group2,CTRL_JNK-IN-8_cDDP_24h,3
CTRL5,24.1936482536304,-14.2769158937678,-25.9616776531097,Group3,CTRL,5
c-jun_KO5,15.5577137824781,-5.51012458750624,-25.8423922321199,Group3,c-jun_KO,5
CTRL_cDDP_06h1,8.97413937529547,-13.5190339215577,-33.4821462637524,Group3,CTRL_cDDP_06h,1
c-jun_KO_cDDP_06h1,6.26911680204616,-16.8339609254794,-36.0880110593079,Group3,c-jun_KO_cDDP_06h,1
CTRL_JNK-IN-8_cDDP_06h1,-2.05216935894871,-6.50253245522799,-31.9030529381652,Group3,CTRL_JNK-IN-8_cDDP_06h,1
CTRL6,-54.8567283044545,-36.447362495996,12.6153966184702,Group4,CTRL,6
c-jun_KO6,-47.6638048925614,-39.0432352388987,14.0654735333149,Group4,c-jun_KO,6
CTRL_cDDP_06h2,-53.9227467447032,-33.5476548477931,15.329270820809,Group4,CTRL_cDDP_06h,2
c-jun_KO_cDDP_06h2,-55.6844944112633,-34.597071262652,9.69261626413436,Group4,c-jun_KO_cDDP_06h,2
CTRL_JNK-IN-8_cDDP_06h2,-56.8045412890911,-34.2375533579517,11.0579230140456,Group4,CTRL_JNK-IN-8_cDDP_06h,2
