ComparisonShortID,ComparisonID,Target,Reference,Exploratory,N_reference,N_target,Proteins_tested,Significant_total,Higher_in_target,Higher_in_reference
C01,c-jun_KO_vs_CTRL,c-jun_KO,CTRL,FALSE,6,6,9699,1,1,0
C02,CTRL_cDDP_06h_vs_CTRL,CTRL_cDDP_06h,CTRL,FALSE,6,2,9697,0,0,0
C03,CTRL_cDDP_24h_vs_CTRL,CTRL_cDDP_24h,CTRL,FALSE,6,3,9699,1,1,0
C04,c-jun_KO_cDDP_06h_vs_c-jun_KO,c-jun_KO_cDDP_06h,c-jun_KO,FALSE,6,2,9697,4,2,2
C05,c-jun_KO_cDDP_24h_vs_c-jun_KO,c-jun_KO_cDDP_24h,c-jun_KO,FALSE,6,4,9699,0,0,0
C06,c-jun_KO_cDDP_06h_vs_CTRL_cDDP_06h,c-jun_KO_cDDP_06h,CTRL_cDDP_06h,FALSE,2,2,9695,0,0,0
C07,c-jun_KO_cDDP_24h_vs_CTRL_cDDP_24h,c-jun_KO_cDDP_24h,CTRL_cDDP_24h,FALSE,3,4,9699,0,0,0
C08,CTRL_JNK-IN-8_cDDP_06h_vs_CTRL_cDDP_06h,CTRL_JNK-IN-8_cDDP_06h,CTRL_cDDP_06h,FALSE,2,2,9694,0,0,0
C09,CTRL_JNK-IN-8_cDDP_24h_vs_CTRL_cDDP_24h,CTRL_JNK-IN-8_cDDP_24h,CTRL_cDDP_24h,FALSE,3,3,9699,0,0,0
C10,CTRL_JNK-IN-8_cDDP_06h_vs_c-jun_KO_cDDP_06h,CTRL_JNK-IN-8_cDDP_06h,c-jun_KO_cDDP_06h,FALSE,2,2,9694,0,0,0
C11,CTRL_JNK-IN-8_cDDP_24h_vs_c-jun_KO_cDDP_24h,CTRL_JNK-IN-8_cDDP_24h,c-jun_KO_cDDP_24h,FALSE,4,3,9699,0,0,0
C12,CTRL_cDDP_24h_vs_CTRL_cDDP_06h,CTRL_cDDP_24h,CTRL_cDDP_06h,TRUE,2,3,9697,0,0,0
C13,c-jun_KO_cDDP_24h_vs_c-jun_KO_cDDP_06h,c-jun_KO_cDDP_24h,c-jun_KO_cDDP_06h,TRUE,2,4,9697,3,1,2
C14,CTRL_JNK-IN-8_cDDP_24h_vs_CTRL_JNK-IN-8_cDDP_06h,CTRL_JNK-IN-8_cDDP_24h,CTRL_JNK-IN-8_cDDP_06h,TRUE,2,3,9696,0,0,0
