BioExperiment,PC1,PC2,PC3,Groups,Condition,BioRep
CTRL1,12.6152751740398,-29.475649426459,25.6244989248323,RS,CTRL,1
CTRL2,2.56162599571896,35.4408794030924,-55.691176965141,RS,CTRL,2
CTRL3,-2.17870498597347,-0.689978863364798,0.614857081164669,Group1,CTRL,3
CTRL4,-4.44050093095889,-1.2901469466603,-2.58591360280397,Group2,CTRL,4
CTRL5,6.82817855205484,-3.01393513470043,0.237829375026546,Group3,CTRL,5
CTRL6,4.23221673543354,-7.43387286765877,-0.00795225267817204,Group4,CTRL,6
c-jun_KO1,19.0961518503789,-14.1007475526131,9.77636880919298,RS,c-jun_KO,1
c-jun_KO2,6.5875595988798,-0.710957721804751,24.1274483906392,RS,c-jun_KO,2
c-jun_KO3,0.79823317532821,-2.61801404785517,0.730259968351143,Group1,c-jun_KO,3
c-jun_KO4,-4.00560370803882,-1.48299969663608,-0.108282259724193,Group2,c-jun_KO,4
c-jun_KO5,0.636917003530275,3.19381472076729,0.292480504818723,Group3,c-jun_KO,5
c-jun_KO6,4.74764241472037,-0.26940366696908,0.918615002277878,Group4,c-jun_KO,6
CTRL_cDDP_06h1,27.177703735217,-3.36257856085325,-0.115982167480673,Group3,CTRL_cDDP_06h,1
CTRL_cDDP_06h2,23.0442045791301,-0.468494565381307,3.01076918217945,Group4,CTRL_cDDP_06h,2
c-jun_KO_cDDP_06h1,30.1869613816175,2.71905202073922,-3.3027151070007,Group3,c-jun_KO_cDDP_06h,1
c-jun_KO_cDDP_06h2,35.0453723081668,20.6044549809594,-8.05592740251445,Group4,c-jun_KO_cDDP_06h,2
CTRL_JNK-IN-8_cDDP_06h1,27.186041823255,15.3861332363868,0.0999544031319835,Group3,CTRL_JNK-IN-8_cDDP_06h,1
CTRL_JNK-IN-8_cDDP_06h2,24.7936087667738,3.39058119958478,1.86597237705202,Group4,CTRL_JNK-IN-8_cDDP_06h,2
CTRL_cDDP_24h1,-27.5191908388252,-43.1642257182845,-42.7806451179746,RS,CTRL_cDDP_24h,1
CTRL_cDDP_24h2,-16.9264239555049,-5.62761974626066,-2.59388559831951,Group1,CTRL_cDDP_24h,2
CTRL_cDDP_24h3,-14.0747171832333,-6.72849957100828,0.339778688753261,Group2,CTRL_cDDP_24h,3
c-jun_KO_cDDP_24h1,-14.0931425423612,-21.9166685090024,13.1114073582628,RS,c-jun_KO_cDDP_24h,1
c-jun_KO_cDDP_24h2,-25.3406213093141,11.1983034055777,-0.330002776396867,RS,c-jun_KO_cDDP_24h,2
c-jun_KO_cDDP_24h3,-18.304951009418,-3.52113201453348,-1.09567775717897,Group1,c-jun_KO_cDDP_24h,3
c-jun_KO_cDDP_24h4,-15.6985826115796,-0.805839772555551,1.75444889624763,Group2,c-jun_KO_cDDP_24h,4
CTRL_JNK-IN-8_cDDP_24h1,-40.3937090836108,48.2726375772304,30.3992622515307,RS,CTRL_JNK-IN-8_cDDP_24h,1
CTRL_JNK-IN-8_cDDP_24h2,-22.1781056496885,4.03611776271647,2.54017733481603,Group1,CTRL_JNK-IN-8_cDDP_24h,2
CTRL_JNK-IN-8_cDDP_24h3,-20.3834392857372,2.43879007554666,1.22403245893571,Group2,CTRL_JNK-IN-8_cDDP_24h,3
