Groups,Condition,BioExperiment,RawFile,TechRep,Replicate_median_Pearson,Experiment_median_Pearson,Removed,Pearson_threshold
Group1,CTRL,CTRL3,Group1_CTRL_1,1,0.793897163158436,0.796244452375523,FALSE,0.7
Group1,CTRL,CTRL3,Group1_CTRL_2,2,0.80009969301981,0.796244452375523,FALSE,0.7
Group1,CTRL,CTRL3,Group1_CTRL_3,3,0.797752403802722,0.796244452375523,FALSE,0.7
Group1,CTRL_JNK-IN-8_cDDP_24h,CTRL_JNK-IN-8_cDDP_24h2,Group1_CTRL_JNK-IN-8_cDDP_24h_1,1,0.798810202990571,0.797518980532106,FALSE,0.7
Group1,CTRL_JNK-IN-8_cDDP_24h,CTRL_JNK-IN-8_cDDP_24h2,Group1_CTRL_JNK-IN-8_cDDP_24h_2,2,0.800884649192579,0.797518980532106,FALSE,0.7
Group1,CTRL_JNK-IN-8_cDDP_24h,CTRL_JNK-IN-8_cDDP_24h2,Group1_CTRL_JNK-IN-8_cDDP_24h_3,3,0.795444534330097,0.797518980532106,FALSE,0.7
Group1,CTRL_cDDP_24h,CTRL_cDDP_24h2,Group1_CTRL_cDDP_24h_1,1,0.795024724775863,0.796456111363237,FALSE,0.7
Group1,CTRL_cDDP_24h,CTRL_cDDP_24h2,Group1_CTRL_cDDP_24h_2,2,0.796973626988649,0.796456111363237,FALSE,0.7
Group1,CTRL_cDDP_24h,CTRL_cDDP_24h2,Group1_CTRL_cDDP_24h_3,3,0.794507209150452,0.796456111363237,FALSE,0.7
Group1,c-jun_KO,c-jun_KO3,Group1_c-jun_KO_1,1,0.69235494878383,0.696048281869175,TRUE,0.7
Group1,c-jun_KO,c-jun_KO3,Group1_c-jun_KO_2,2,0.740264801133086,0.696048281869175,FALSE,0.7
Group1,c-jun_KO,c-jun_KO3,Group1_c-jun_KO_3,3,0.74395813421843,0.696048281869175,FALSE,0.7
Group1,c-jun_KO_cDDP_24h,c-jun_KO_cDDP_24h3,Group1_c-jun_KO_cDDP_24h_1,1,0.799033001731057,0.801439389442734,FALSE,0.7
Group1,c-jun_KO_cDDP_24h,c-jun_KO_cDDP_24h3,Group1_c-jun_KO_cDDP_24h_2,2,0.798789526229696,0.801439389442734,FALSE,0.7
Group1,c-jun_KO_cDDP_24h,c-jun_KO_cDDP_24h3,Group1_c-jun_KO_cDDP_24h_3,3,0.801682864944094,0.801439389442734,FALSE,0.7
Group2,CTRL,CTRL4,Group2_CTRL_1,1,0.791022601899876,0.793453256788026,FALSE,0.7
Group2,CTRL,CTRL4,Group2_CTRL_2,2,0.808638264490679,0.793453256788026,FALSE,0.7
Group2,CTRL,CTRL4,Group2_CTRL_3,3,0.806207609602528,0.793453256788026,FALSE,0.7
Group2,CTRL_JNK-IN-8_cDDP_24h,CTRL_JNK-IN-8_cDDP_24h3,Group2_CTRL_JNK-IN-8_cDDP_24h_1,1,0.789403484663897,0.790797280856852,FALSE,0.7
Group2,CTRL_JNK-IN-8_cDDP_24h,CTRL_JNK-IN-8_cDDP_24h3,Group2_CTRL_JNK-IN-8_cDDP_24h_2,2,0.798518660496286,0.790797280856852,FALSE,0.7
Group2,CTRL_JNK-IN-8_cDDP_24h,CTRL_JNK-IN-8_cDDP_24h3,Group2_CTRL_JNK-IN-8_cDDP_24h_3,3,0.79991245668924,0.790797280856852,FALSE,0.7
Group2,CTRL_cDDP_24h,CTRL_cDDP_24h3,Group2_CTRL_cDDP_24h_1,1,0.790620508477602,0.791732300008536,FALSE,0.7
Group2,CTRL_cDDP_24h,CTRL_cDDP_24h3,Group2_CTRL_cDDP_24h_2,2,0.802185560665347,0.791732300008536,FALSE,0.7
Group2,CTRL_cDDP_24h,CTRL_cDDP_24h3,Group2_CTRL_cDDP_24h_3,3,0.801073769134413,0.791732300008536,FALSE,0.7
Group2,c-jun_KO,c-jun_KO4,Group2_c-jun_KO_1,1,0.792269239948838,0.793916862099918,FALSE,0.7
Group2,c-jun_KO,c-jun_KO4,Group2_c-jun_KO_2,2,0.800870194865785,0.793916862099918,FALSE,0.7
Group2,c-jun_KO,c-jun_KO4,Group2_c-jun_KO_3,3,0.802517817016864,0.793916862099918,FALSE,0.7
Group2,c-jun_KO_cDDP_24h,c-jun_KO_cDDP_24h4,Group2_c-jun_KO_cDDP_24h_1,1,0.79251298910297,0.793446855538973,FALSE,0.7
Group2,c-jun_KO_cDDP_24h,c-jun_KO_cDDP_24h4,Group2_c-jun_KO_cDDP_24h_2,2,0.803780818064358,0.793446855538973,FALSE,0.7
Group2,c-jun_KO_cDDP_24h,c-jun_KO_cDDP_24h4,Group2_c-jun_KO_cDDP_24h_3,3,0.804714684500361,0.793446855538973,FALSE,0.7
Group3,CTRL,CTRL5,Group3_CTRL_1,1,0.793279420984314,0.794011617344012,FALSE,0.7
Group3,CTRL,CTRL5,Group3_CTRL_2,2,0.801393140360941,0.794011617344012,FALSE,0.7
Group3,CTRL,CTRL5,Group3_CTRL_3,3,0.802125336720639,0.794011617344012,FALSE,0.7
Group3,CTRL_JNK-IN-8_cDDP_06h,CTRL_JNK-IN-8_cDDP_06h1,Group3_CTRL_JNK-IN-8_cDDP_06h_1,1,0.795220892452312,0.792672659482538,FALSE,0.7
Group3,CTRL_JNK-IN-8_cDDP_06h,CTRL_JNK-IN-8_cDDP_06h1,Group3_CTRL_JNK-IN-8_cDDP_06h_2,2,0.79520095683967,0.792672659482538,FALSE,0.7
Group3,CTRL_JNK-IN-8_cDDP_06h,CTRL_JNK-IN-8_cDDP_06h1,Group3_CTRL_JNK-IN-8_cDDP_06h_3,3,0.792652723869896,0.792672659482538,FALSE,0.7
Group3,CTRL_cDDP_06h,CTRL_cDDP_06h1,Group3_CTRL_cDDP_06h_1,1,0.790824662681841,0.794676163261367,FALSE,0.7
Group3,CTRL_cDDP_06h,CTRL_cDDP_06h1,Group3_CTRL_cDDP_06h_2,2,0.796693293758001,0.794676163261367,FALSE,0.7
Group3,CTRL_cDDP_06h,CTRL_cDDP_06h1,Group3_CTRL_cDDP_06h_3,3,0.792841793178475,0.794676163261367,FALSE,0.7
Group3,c-jun_KO,c-jun_KO5,Group3_c-jun_KO_1,1,0.800696979699016,0.801095145004006,FALSE,0.7
Group3,c-jun_KO,c-jun_KO5,Group3_c-jun_KO_2,2,0.801722655875114,0.801095145004006,FALSE,0.7
Group3,c-jun_KO,c-jun_KO5,Group3_c-jun_KO_3,3,0.802120821180103,0.801095145004006,FALSE,0.7
Group3,c-jun_KO_cDDP_06h,c-jun_KO_cDDP_06h1,Group3_c-jun_KO_cDDP_06h_1,1,0.783084424880822,0.785041389406217,FALSE,0.7
Group3,c-jun_KO_cDDP_06h,c-jun_KO_cDDP_06h1,Group3_c-jun_KO_cDDP_06h_2,2,0.785121765120773,0.785041389406217,FALSE,0.7
Group3,c-jun_KO_cDDP_06h,c-jun_KO_cDDP_06h1,Group3_c-jun_KO_cDDP_06h_3,3,0.787078729646168,0.785041389406217,FALSE,0.7
Group4,CTRL,CTRL6,Group4_CTRL_1,1,0.761949979302222,0.763329036303222,FALSE,0.7
Group4,CTRL,CTRL6,Group4_CTRL_2,2,0.769893046698513,0.763329036303222,FALSE,0.7
Group4,CTRL,CTRL6,Group4_CTRL_3,3,0.768513989697513,0.763329036303222,FALSE,0.7
