"","20260331_CTRL1_1","20260331_CTRL1_2","20260331_CTRL1_3","20260331_CTRL2_1","20260331_CTRL2_2","20260331_CTRL2_3","20260331_CTRL_JNK-IN-8_cDDP_24h1_1","20260331_CTRL_JNK-IN-8_cDDP_24h1_2","20260331_CTRL_JNK-IN-8_cDDP_24h1_3","20260331_CTRL_cDDP_24h1_1","20260331_CTRL_cDDP_24h1_2","20260331_CTRL_cDDP_24h1_3","20260331_c-jun_KO1_1","20260331_c-jun_KO1_2","20260331_c-jun_KO1_3","20260331_c-jun_KO2_1","20260331_c-jun_KO2_2","20260331_c-jun_KO2_3","20260331_c-jun_KO_cDDP_24h1_1","20260331_c-jun_KO_cDDP_24h1_2","20260331_c-jun_KO_cDDP_24h1_3","20260331_c-jun_KO_cDDP_24h2_1","20260331_c-jun_KO_cDDP_24h2_2","20260331_c-jun_KO_cDDP_24h2_3","Group1_CTRL_1","Group1_CTRL_2","Group1_CTRL_3","Group1_CTRL_JNK-IN-8_cDDP_24h_1","Group1_CTRL_JNK-IN-8_cDDP_24h_2","Group1_CTRL_JNK-IN-8_cDDP_24h_3","Group1_CTRL_cDDP_24h_1","Group1_CTRL_cDDP_24h_2","Group1_CTRL_cDDP_24h_3","Group1_c-jun_KO_1","Group1_c-jun_KO_2","Group1_c-jun_KO_3","Group1_c-jun_KO_cDDP_24h_1","Group1_c-jun_KO_cDDP_24h_2","Group1_c-jun_KO_cDDP_24h_3","Group2_CTRL_1","Group2_CTRL_2","Group2_CTRL_3","Group2_CTRL_JNK-IN-8_cDDP_24h_1","Group2_CTRL_JNK-IN-8_cDDP_24h_2","Group2_CTRL_JNK-IN-8_cDDP_24h_3","Group2_CTRL_cDDP_24h_1","Group2_CTRL_cDDP_24h_2","Group2_CTRL_cDDP_24h_3","Group2_c-jun_KO_1","Group2_c-jun_KO_2","Group2_c-jun_KO_3","Group2_c-jun_KO_cDDP_24h_1","Group2_c-jun_KO_cDDP_24h_2","Group2_c-jun_KO_cDDP_24h_3","Group3_CTRL_1","Group3_CTRL_2","Group3_CTRL_3","Group3_CTRL_JNK-IN-8_cDDP_06h_1","Group3_CTRL_JNK-IN-8_cDDP_06h_2","Group3_CTRL_JNK-IN-8_cDDP_06h_3","Group3_CTRL_cDDP_06h_1","Group3_CTRL_cDDP_06h_2","Group3_CTRL_cDDP_06h_3","Group3_c-jun_KO_1","Group3_c-jun_KO_2","Group3_c-jun_KO_3","Group3_c-jun_KO_cDDP_06h_1","Group3_c-jun_KO_cDDP_06h_2","Group3_c-jun_KO_cDDP_06h_3","Group4_CTRL_1","Group4_CTRL_2","Group4_CTRL_3","Group4_CTRL_JNK-IN-8_cDDP_06h_1","Group4_CTRL_JNK-IN-8_cDDP_06h_2","Group4_CTRL_JNK-IN-8_cDDP_06h_3","Group4_CTRL_cDDP_06h_1","Group4_CTRL_cDDP_06h_2","Group4_CTRL_cDDP_06h_3","Group4_c-jun_KO_1","Group4_c-jun_KO_2","Group4_c-jun_KO_3","Group4_c-jun_KO_cDDP_06h_1","Group4_c-jun_KO_cDDP_06h_2","Group4_c-jun_KO_cDDP_06h_3"
"A0A096LP01",18.9817971439641,20.099229412422,19.5914736838728,19.3244706632318,19.7891920032628,20.080007940822,19.061104551063,19.1648652443351,19.7426496449517,18.7700000120885,19.7731871651859,19.2094849994207,20.4075553359992,20.3618034880936,20.2488051517443,20.0341942953586,20.0949566793214,19.7322787660602,19.4828517676677,19.1907677023668,18.5595206409822,19.9992631471427,18.8045456924626,18.8037636812315,20.0085051582339,19.781113490841,19.3729827962688,19.5140106627021,19.8872535274195,20.0724132709796,19.3201961841331,19.5668420191995,17.9363899525881,18.7208228124927,19.9409585268818,20.0611456650325,19.3654494850145,18.4157903158716,19.6937339979392,20.2693798790851,19.8709358699484,20.2134679517111,20.4770896679361,20.4885665418707,20.0513276330619,20.0863746639015,19.6841449561392,19.5811543130786,20.4765604206368,20.1138292356281,19.8763671762862,20.0950104933649,19.9463405463193,19.6724892902292,19.5194449824818,19.9253991979334,19.8319018091437,20.3167682691686,20.3806390868703,20.4046022881232,19.5407543819637,20.3343811991468,20.1503442386704,19.844492472953,19.6078690780584,19.9284449403304,20.4768279438315,20.4715308182328,20.6674517964164,19.3277153162841,19.829425505482,19.8829463302801,19.5457411475221,19.5972008282779,19.8378694476575,20.0024084057247,19.8557601544891,19.9514434911489,19.6926275122981,19.8627051777827,19.6930380064661,19.2607376472316,18.6878501607928,18.6161948562556
"A0A0B4J2F0",17.5640409612646,16.9435396294179,16.9895416581979,0,16.4863676886508,16.9144492734812,17.6298956528137,15.8429570773055,15.9412668846518,16.9536523925111,16.5703416383615,17.2281915082324,16.9131434116518,17.3347884746037,16.6193571419669,17.070017049598,16.2827520209795,16.6607458836885,15.1996385658858,16.8084349763925,15.4422996514534,15.8129244820584,16.4902657021877,15.6097603566215,16.3159900197839,16.7468927032209,16.4025416100064,16.3099209109833,17.0094164610999,16.9243617032777,16.8464343376722,16.9575718825179,16.5171014196297,16.2911261304179,17.0128207638646,16.7629240109312,16.348491800224,16.8803773380267,16.7692796483523,16.381361703413,16.7854379659063,16.4901012829852,16.3681162767105,16.6952402730581,16.9383602388126,16.0215213296096,16.3995089607252,16.5705676568521,16.1609436557906,16.8059398761434,15.9405193930658,15.7453761550839,16.4877691262153,16.4573100608843,16.6226854323094,16.4748903437644,17.0302975749589,16.2552064408539,16.0006676491046,16.171188110998,16.5365027644394,16.6579996465276,16.2167490686601,15.6453318831314,0,16.2770700509045,16.8842988143546,16.7547585376566,17.0554152630768,16.4184647500698,16.1462456516585,16.5868207849736,15.9097637134719,16.1972598607722,16.5371129323891,16.6206796979178,16.0314754558031,16.7015686191189,16.4149104465223,16.2600565893271,16.141723390501,14.7872889745145,15.746967631367,0
"A0A0U1RR11",19.3754648114665,19.9373020434696,19.9185976807386,18.5324500979502,19.2495624464978,18.4746675847653,19.3425743652133,19.5390665804536,19.7483990796147,19.6434679587786,19.2605017324596,19.4450675613452,18.3070823601703,18.5795804545332,18.8602172633084,18.243434231885,17.2341388106975,18.1824377034978,19.138471665829,18.9869017747725,18.8151014740518,18.7705038351054,18.8404160397063,17.8352866016106,20.2080459665239,20.1402098351407,20.324615441113,20.4146488909183,20.383470923027,20.5409572562656,20.0033149047098,20.0910732487726,20.0396300475915,0,19.6812436165316,19.3523506667985,19.1967069721272,19.5869944263898,19.3786558639599,20.227701314081,20.4609039377723,20.252644352486,20.6975000631576,20.6557876716467,20.6892274619189,20.2338832369992,20.5436480353653,20.5444763529322,19.9022593454575,19.6828082522006,19.6786280266126,19.6230963329093,19.7419103019271,19.5452334987275,20.1581174466879,20.1638209319684,20.1046440864141,19.2961354865425,19.3363969018787,19.5509670077165,19.8469519077271,19.7116764281843,19.8430917511213,19.4741707955409,19.4113695991664,19.2132021331724,19.3688490008753,18.9821928493482,18.862702800856,19.7295753253068,19.5636140816342,19.9246838743126,18.2321892977664,19.0835842680186,18.9516665890322,19.185561391371,19.9440630785742,20.0923564869891,19.7282937354695,20.1350483266094,19.8565899423725,20.4694595576248,20.8551444543236,20.579441779248
"A0A0U1RRE5",18.4104560297562,19.2547571154512,18.8523806930559,17.7034897525473,17.8325368297573,17.9044609288118,18.083939519717,17.794520048263,17.660621584355,17.4838488453934,18.1089344212069,17.8641373725441,18.2674736480937,18.6808861363051,18.4678451526642,18.0146499371609,18.6167783795159,18.3233374452387,17.8433835905734,18.2902075647654,18.4107342096611,17.8985671352149,18.1498476057447,18.0347324691007,18.2335283187374,18.6159862250624,18.1263156772012,18.6466578559928,18.1151316763655,18.4021981867237,18.503039905413,18.3391623454662,18.4793600401899,18.226145680942,18.1121937825679,18.3055577732003,18.1477125400969,17.8794282273141,18.1229309752362,18.5196468968617,18.4359229744188,18.3103103514311,18.1907411035045,17.9479534016277,17.9823241290342,18.481929484375,17.9932842732121,17.7020278155279,18.454539240025,17.8851627852806,17.8412545976609,17.6194415213433,17.9185742485249,17.1286107881721,19.1319534461252,19.3117872862668,19.3605334561757,19.2035324831906,19.2787349728529,17.5509719271505,18.9845711361914,19.1078471619641,19.0471481391016,16.4880794430589,19.1004677420857,18.839582001058,19.9795229865448,19.9400961087891,19.5875614129869,18.2833551037334,16.2234094350038,17.2855157959565,17.6368542055228,17.3452158997084,17.2157176625829,18.2167657073491,17.4264859213318,17.5479317167854,17.618135900926,17.4059754716191,17.4861944812436,17.6581221335098,16.9589160404833,17.1515823279583
"A0A0U1RRI6",19.146806203089,19.4226935940473,19.2704909124864,18.8237205042255,18.6346161841623,18.8809088986989,17.9356610059681,18.5204662327168,18.2066671263899,18.0025348285682,18.5495572734048,17.1406017442427,18.7754042280601,18.9786183011019,18.8540736229472,16.8834640362881,18.1278583372757,18.1024943371381,18.3141104850687,17.4875030468727,18.2555652820019,17.2583149676642,18.2904673367252,16.8674120511848,18.2495467608235,18.3368937123674,17.897573244025,18.7314613330497,18.4833590482673,18.2217371855963,18.3302040986012,18.3090866324627,19.3092685464374,18.252461284985,17.1758005566501,16.4055514014144,16.9789684824382,17.3608193400156,16.9028772246344,17.7042786885877,18.395494511458,18.905514257819,19.186574345124,18.5625520418468,19.2861641092953,18.4902175123809,19.0262501441078,19.04661916544,16.9096170723471,18.0791361605278,17.4058550947695,17.1608679998473,16.8997593971192,17.1979667899064,19.4043874317121,18.0711606766163,18.6333742859202,18.9745949232244,18.0437265964688,18.6736888423196,17.6074664956836,18.4874703819043,18.5570059523931,17.4470382172496,16.4148489994775,17.5981971151026,17.4213409584479,17.6201274741628,17.4120650658347,18.3069543985271,18.4235955500585,18.7646671851006,17.3866694026317,17.1845359600534,17.7616434063412,19.4269800584779,18.5826467672283,18.8366136880639,18.6211037215956,18.5183387589053,18.5618439575524,17.5161155028797,17.3905655483199,17.5529033561134
"A0A1B0GTK5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1203307295986,18.0233424036973,17.7351527593479,19.7235606703975,19.0391077178522,19.7586310496878,18.1454733118042,18.077526164052,18.770910251696,0,19.0630849533732,18.9782500604144,17.376649375671,17.7311988437793,17.96009115103,20.8544687309616,18.7895259330024,20.1936186481799,19.2344790064687,19.2458696741097,19.3587521135975,19.2600641399154,19.6769603833071,19.0179018554087,18.7609157672813,20.1911886880497,18.9723792527136,20.3457143224814,20.0107860928312,19.9126893413824,18.5898594286748,18.275981304316,18.4794013456058,18.5853943368597,19.6227555084085,0,17.8761414472992,19.3709228871965,18.7635459951303,19.5690141211547,19.4013412387973,19.4565627181729,0,19.4620844848047,18.4556339398632,0,0,0,0,0,0,0,0,0,0,0,0,19.2029639366642,18.9944319750568,18.84452993377
"A0A1B0GVD1",18.6891002793055,17.871481894983,17.9491975569011,16.486606325313,18.6785984087649,18.8843774458046,18.0454879938006,17.7744982545932,17.2803895402926,17.9755536165458,16.8299152616135,18.9468501354635,18.0476000198352,18.1464797730512,17.2797729359573,18.95301185711,17.2887379529664,17.6060917765426,18.2196456980387,18.1794319542292,0,17.4073762339573,17.3631851316284,15.9896811752655,18.3141371932106,17.7042892541985,17.9751859999901,18.0335846938104,17.6455866794956,17.4995270084694,17.9887843515953,17.7615739150744,18.5234532374516,0,18.297132464259,18.2978257818829,13.4944681600002,17.2785675726927,18.453200944643,18.4713919038564,17.9558787587793,16.7346202011899,0,17.9238242639919,16.2992434404133,17.1723240327234,17.7557150093698,16.6157105483305,17.1316490339807,17.0744258889227,17.546288660359,17.9144331567587,16.9752520157918,17.1451298759477,13.2986187990638,17.1179014399718,18.5263421781692,0,17.9300344382977,17.2743271276092,18.3812744958564,16.7484912675304,18.2783950477088,15.8715691300185,16.82115930944,16.3512780892976,17.1664910538299,0,18.3483915924874,16.9729795690818,16.7206270668902,17.7221612727062,18.3058585670248,0,15.5463686461803,10.7033528502525,16.6582787564845,18.0411400417482,17.9693848490743,17.1628524907735,14.0516094690768,16.0432692296473,16.8407146070586,15.5887293136849
"A0A1B0GWG4",17.9128174851263,18.9286976963998,16.8581279337899,0,17.7253899277705,0,0,0,0,0,18.0183748249209,18.2045537885891,19.0469726596007,15.3436765314376,17.0520018617328,17.7044927379758,0,0,19.189724269139,0,0,17.2138870396678,0,18.1808494222834,17.3772738216574,17.1692479859231,14.5795491880748,0,0,16.1555168086558,16.9955243757752,18.0985329959196,18.1140168182428,0,16.1981742656058,16.4702858986171,14.8576264736366,17.2112076007067,18.7348115154234,17.9395925305079,18.8148700967591,13.5783856151514,0,18.5047873353948,17.7490624987647,17.0766068177109,15.8844197441028,18.972947681418,16.03250973976,18.0795255583419,18.4133371467047,0,13.9056798512113,18.1945620002596,17.5917914942971,20.0411999009065,15.036006012148,18.1950467631622,18.0863679539486,0,17.9414704800862,15.3884361903168,18.3752400426311,13.9111078123823,15.6822751361621,16.8326523643651,14.7827026877095,17.9670250940167,17.1006841582449,17.7479413613298,0,17.0007374481211,19.2138245430822,14.7694604381443,16.3808375958939,18.0346419117178,16.2433423940845,17.3107722278272,18.779870683276,16.8422229977185,18.0828331188654,16.2348453306296,18.0104104915799,16.0526771725502
"A0A494C0Z2",17.2433888836867,16.9721639044174,0,0,14.586176252482,0,16.5544305483682,0,0,0,0,15.5714035213533,16.3516088235016,0,0,0,0,0,16.9943127420006,0,0,15.5540440494971,0,0,0,15.9683343611985,14.4526518493563,0,0,0,16.3977741920639,14.7252322470832,16.1051725741377,0,15.9252640499498,0,15.7884833132407,14.6876943680661,16.7965192443573,14.7383291214748,16.99486736645,14.3336259078658,0,17.0231163930476,16.3469765752155,16.5259474129788,16.0469150935086,16.3215908745015,15.7724150432234,17.003564224045,17.2303823198896,0,14.6650849731999,15.4935366168915,15.111896201969,17.0070215664072,15.8306178426006,14.7137871048673,0,0,16.4390938283932,17.0920522179928,17.6498378672779,0,17.3713482717685,0,0,0,0,17.5098345091726,0,0,15.9718141146473,0,13.8909282530646,15.811147861303,0,14.9644348808104,0,16.4045453617186,16.4141983429505,16.6800240226416,15.9835589392032,0
"A0A8I5KQE6",26.7448510741979,26.7473947832381,26.7388522659464,26.8414793131628,26.8536377175121,26.8694083190647,26.84355078461,26.786975305397,26.7253222100346,26.9870328791865,26.9152798905312,26.7670620469637,26.826937429613,26.8218074713843,26.7224648752089,26.9631523874549,26.9392885201404,26.9972190402048,26.971781168787,26.9424087174797,26.9150614709776,27.084120205531,27.0522026270918,26.9110115329121,26.9497440634747,26.9460336324409,26.9471926293184,26.9162136162784,26.9723660117093,26.9954096308756,26.9151285550398,26.9152083916383,26.8687303129129,27.1614920155572,26.9073040597074,26.9302778109602,26.9896174083803,26.9212146754688,26.9367140477153,27.3963912282421,27.0547523604947,27.0177740255048,27.1825258773125,26.9285555492165,26.9244231359243,27.2642934260873,27.0415198197079,27.045486569943,27.2976690000034,27.0533148653993,27.0460411635747,27.2978258528151,27.086641925922,27.0249220562487,27.0292989321193,27.0691586166142,27.0789635239813,26.9513831366362,27.0557704936224,27.1150422536453,26.8956300680843,27.0573058458467,27.0280720220606,27.0135386099746,27.0590057267471,27.067371129549,26.8798637088905,26.9352427798167,26.9602032920139,26.7720619818187,26.7408126209604,26.776429052587,26.7048185434707,26.8230862264728,26.8281915303721,26.4472992945565,26.6903290617281,26.7262786112503,26.7883948863771,26.8042543292596,26.7913002266547,26.8503717920954,26.8771392597288,26.8404822558916
